p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,16,72,22.16126933,46470.14914417267
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,static,NA,32,32.50282833,47283.63657474518
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,1,32,33.274517,48091.63897180557
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd, ,num_threads(#P12), ,NA,8,72,1.7976931348623157e+308,49317.6401951313
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),static,NA,32,37.51713633,50163.63713622093
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,32,37.12151666,51709.63848400116
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,128,1.7976931348623157e+308,52997.63989186287
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , , , ,NA,NA,NA,19.456145,53789.63754940033
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,16,32,32.58287433,54673.63766813278
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,2,32,103.59259,56225.638348817825
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, , , ,NA,NA,NA,1.7976931348623157e+308,57503.639166116714
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA, , , , ,NA,NA,NA,1.7976931348623157e+308,58727.63964676857
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", , ,thread_limit(#P14),128,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,59979.6400372982
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,32,32.253249,60863.637310028076
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,103.02557766,62391.98099589348
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), , ,dynamic,NA,NA,18.431844,63053.63704872131
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,1,NA,56.32539666,64089.85155701637
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10), , ,dynamic,NA,NA,18.572337,64749.976638793945
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , , ,NA,8,NA,1.7976931348623157e+308,65973.97970986366
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,2,32,22.001822,66856.10759735107
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,72,18.675977,67524.06254982948
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,2,32,32.518221,68379.63816571236
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12), ,dynamic,NA,128,18.85539166,69093.63938355446
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,32,36.92071433,69915.63865685463
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,8,32,31.81914066,70697.6378736496
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,8,32,35.59418133,71535.63865756989
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,72,19.07108666,72199.63660883904
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10),num_threads(#P12), ,dynamic,NA,16,60.283062,73283.6382021904
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , , ,collapse(2),NA,NA,NA,20.89518833,74053.63678836823
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,104.28459833,75577.63802456856
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", ,"dist_schedule(static, #P11)", ,NA,NA,NA,NA,NA,NA,1,NA,1.7976931348623157e+308,76809.64022660255
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,128,20.62426133,77467.6379544735
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)", , ,thread_limit(#P14),64,NA,NA,NA,NA,NA,NA,NA,1.7976931348623157e+308,78690.10979294777
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(x1, x2, y_1, y_2, A)",parallel for #P4 #P8 #P6 #P7, , ,NA, , ,num_threads(#P12), ,NA,NA,128,1.7976931348623157e+308,79936.1084022522
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,8,NA,21.91393566,80653.63753128052
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,4,NA,24.352925,81443.63659882545
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),dynamic,1,72,102.822499,82947.6388874054
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,1,NA,18.42640033,83605.63867712021
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,schedule(#P10), ,collapse(2),dynamic,NA,NA,57.303752,84657.89545083046
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,64,18.130255,85349.63770699501
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12), ,NA,NA,8,87.13319966,86718.5315630436
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,128,21.55897366,87386.36045646667
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,176,22.24530833,88096.3614165783
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,8,87.131515,89474.74360013008
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,72,19.07420566,90158.36048388481
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,128,21.60123133,90834.87124276161
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)",num_threads(#P12), ,dynamic,8,72,18.15271166,91490.65739417076
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12),collapse(2),NA,NA,64,21.338766,92210.36064600945
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, , ,num_threads(#P12), ,NA,NA,128,20.79197,92894.3611433506
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA, ,"schedule(#P10, #P11)", , ,dynamic,16,NA,18.30825933,93552.61800980568
#pragma omp #P3,parallel for #P4 #P8 #P6 #P7,NA,NA,NA,simd,"schedule(#P10, #P11)", , ,static,1,NA,11.85621166,94146.36142015457
