,Benchmark,Pragma,Time
20,doitgen,"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(8)",1.276041
21,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 2) dist_schedule(static, 2) is_device_ptr(A, C4, sum)",1.354712
22,doitgen,"#pragma omp target teams distribute is_device_ptr(A, C4, sum)",1.37862433
23,doitgen,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, C4, sum)",2.194402
24,doitgen,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) thread_limit(256) is_device_ptr(A, C4, sum)",2.69094133
25,doitgen,"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, C4, sum)",3.08330433
26,doitgen,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, C4, sum)",4.826124
27,doitgen,,9.08040933
28,doitgen,#pragma omp simd,9.08997366
29,doitgen,"#pragma omp target teams distribute parallel for schedule(static, 16) num_threads(16) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C4, sum)",19.22825466
30,convolution-3d,#pragma omp parallel for collapse(3) num_threads(16),0.09824133
31,convolution-3d,"#pragma omp target teams distribute parallel for simd schedule(dynamic) is_device_ptr(A, B)",0.11300433
32,convolution-3d,"#pragma omp target teams distribute parallel for schedule(static) is_device_ptr(A, B)",0.11365433
33,convolution-3d,"#pragma omp target teams distribute parallel for is_device_ptr(A, B)",0.11601766
34,convolution-3d,"#pragma omp target teams distribute parallel for simd collapse(3) schedule(dynamic, 4) num_threads(176) dist_schedule(static, 4) is_device_ptr(A, B)",0.130879
35,convolution-3d,,0.19406566
36,convolution-3d,#pragma omp simd,0.201173
37,convolution-3d,"#pragma omp target teams distribute parallel for simd schedule(static, 4) is_device_ptr(A, B)",0.20949
38,convolution-3d,"#pragma omp target teams distribute parallel for schedule(static, 16) dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B)",0.475865
39,convolution-3d,"#pragma omp target teams distribute parallel for schedule(static, 2) dist_schedule(static, 2) is_device_ptr(A, B)",1.62911266
40,correlation,"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",1.79163033
41,correlation,"#pragma omp parallel for simd schedule(static, 16) num_threads(176)",1.813988
42,correlation,"#pragma omp parallel for schedule(dynamic, 8) num_threads(176)",1.82169733
43,correlation,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean, stddev)",3.722351
44,correlation,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(176) is_device_ptr(data, symmat, mean, stddev)",5.84217633
45,correlation,#pragma omp simd,8.74397766
46,correlation,,8.74432466
47,correlation,"#pragma omp target teams distribute parallel for simd schedule(static, 8) num_threads(176) is_device_ptr(data, symmat, mean, stddev)",11.43988333
48,correlation,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(176) dist_schedule(static, 1) is_device_ptr(data, symmat, mean, stddev)",54.01751
49,correlation,"#pragma omp target teams distribute parallel for schedule(static) num_threads(176) dist_schedule(static, 1) is_device_ptr(data, symmat, mean, stddev)",56.46971066
50,fdtd-apml,"#pragma omp parallel for schedule(dynamic, 4) num_threads(8)",0.52837466
51,fdtd-apml,"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(8)",0.54321533
52,fdtd-apml,"#pragma omp parallel for schedule(static, 16) num_threads(8)",0.54847066
53,fdtd-apml,"#pragma omp target teams distribute is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.573477
54,fdtd-apml,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",2.544683
55,fdtd-apml,#pragma omp simd,3.10240866
56,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",3.10567566
57,fdtd-apml,,3.106608
58,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",6.114053
59,fdtd-apml,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 1) dist_schedule(static, 1) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",39.46384366
60,covariance,"#pragma omp target teams distribute parallel for simd schedule(static) thread_limit(256) is_device_ptr(data, symmat, mean)",1.78161566
61,covariance,"#pragma omp target teams distribute parallel for schedule(static) thread_limit(256) is_device_ptr(data, symmat, mean)",1.80565266
62,covariance,#pragma omp parallel for simd schedule(static) num_threads(8),2.451578
63,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) num_threads(8) thread_limit(128) is_device_ptr(data, symmat, mean)",5.22132666
64,covariance,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(data, symmat, mean)",5.62821066
65,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(72) is_device_ptr(data, symmat, mean)",5.83221733
66,covariance,#pragma omp simd,9.34312866
67,covariance,,9.343809
68,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic) dist_schedule(static, 4) is_device_ptr(data, symmat, mean)",11.19558933
69,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) dist_schedule(static, 4) thread_limit(32) is_device_ptr(data, symmat, mean)",20.870864
70,gemm,#pragma omp parallel for simd collapse(2) schedule(static) num_threads(16),2.06512966
71,gemm,"#pragma omp target teams distribute parallel for simd schedule(dynamic) thread_limit(256) is_device_ptr(A, B, C)",2.13881666
72,gemm,"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(128) is_device_ptr(A, B, C)",2.24316533
73,gemm,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(128) thread_limit(128) is_device_ptr(A, B, C)",2.24749466
74,gemm,"#pragma omp target teams distribute is_device_ptr(A, B, C)",2.451811
75,gemm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 2) is_device_ptr(A, B, C)",2.75360333
76,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) num_threads(72) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C)",3.78253
77,gemm,#pragma omp simd,15.79556033
78,gemm,,15.809668
79,gemm,"#pragma omp target teams distribute parallel for simd dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",23.595802
80,gesummv,"#pragma omp parallel for simd schedule(dynamic, 2) num_threads(8)",0.12966166
81,gesummv,"#pragma omp parallel for simd schedule(static, 8) num_threads(8)",0.18421366
82,gesummv,#pragma omp parallel for simd num_threads(8),0.19189866
83,gesummv,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",0.196236
84,gesummv,"#pragma omp target teams distribute is_device_ptr(A, B, tmp, x, y)",0.224899
85,gesummv,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, tmp, x, y)",0.23207366
86,gesummv,"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(64) is_device_ptr(A, B, tmp, x, y)",0.23534066
87,gesummv,"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(A, B, tmp, x, y)",0.25155833
88,gesummv,,0.478245
89,gesummv,#pragma omp simd,0.479911
90,gemver,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) num_threads(8) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.24677466
91,gemver,"#pragma omp target teams distribute dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.25719033
92,gemver,#pragma omp parallel for simd num_threads(8),0.27400933
93,gemver,"#pragma omp target teams distribute parallel for simd dist_schedule(static, 2) thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.561543
94,gemver,"#pragma omp target teams distribute parallel for dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.573513
95,gemver,"#pragma omp target teams distribute parallel for simd dist_schedule(static, 1) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.57476766
96,gemver,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) dist_schedule(static, 2) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.595076
97,gemver,"#pragma omp target teams distribute parallel for simd num_threads(176) dist_schedule(static, 1) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.74466033
98,gemver,,0.911164
99,gemver,#pragma omp simd,0.91722066
100,syr2k,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) num_threads(72) dist_schedule(static, 1) is_device_ptr(A, B, C)",2.55248
101,syr2k,"#pragma omp parallel for collapse(2) schedule(dynamic, 16) num_threads(16)",2.74121066
102,syr2k,"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(16)",2.74598766
103,syr2k,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",3.06857133
104,syr2k,#pragma omp parallel for simd collapse(2) num_threads(16),4.05105966
105,syr2k,"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(8)",4.20474433
106,syr2k,"#pragma omp parallel for simd collapse(2) schedule(static, 16) num_threads(8)",4.95479666
107,syr2k,"#pragma omp target teams distribute parallel for schedule(static, 16) num_threads(64) thread_limit(256) is_device_ptr(A, B, C)",12.11914133
108,syr2k,#pragma omp simd,28.92336766
109,syr2k,,28.925052
110,syrk,"#pragma omp target teams distribute parallel for simd collapse(2) thread_limit(64) is_device_ptr(A, C)",0.855973
111,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) dist_schedule(static, 2) is_device_ptr(A, C)",0.97781066
112,syrk,"#pragma omp target teams distribute is_device_ptr(A, C)",1.01189533
113,syrk,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(176) dist_schedule(static, 1) is_device_ptr(A, C)",1.41809033
114,syrk,baseline,1.61175933
115,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) dist_schedule(static, 16) is_device_ptr(A, C)",1.72425566
116,syrk,#pragma omp parallel for simd collapse(2) schedule(static) num_threads(8),3.56253633
117,syrk,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 8) is_device_ptr(A, C)",6.19821533
118,syrk,#pragma omp simd,14.46971
119,syrk,,14.47253466
120,mvt,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 4) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",0.272874
121,mvt,"#pragma omp parallel for simd schedule(static, 1) num_threads(16)",0.28044433
122,mvt,#pragma omp parallel for simd collapse(2) schedule(static) num_threads(8),0.28125966
123,mvt,#pragma omp parallel for simd collapse(2) schedule(dynamic),0.30961466
124,mvt,"#pragma omp parallel for collapse(2) schedule(dynamic, 1)",0.314457
125,mvt,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(72) dist_schedule(static, 1) thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",0.315268
126,mvt,"#pragma omp parallel for simd collapse(2) schedule(dynamic, 1)",0.31733666
127,mvt,"#pragma omp target teams distribute parallel for simd schedule(static) dist_schedule(static, 1) is_device_ptr(x1, x2, y_1, y_2, A)",0.44705066
128,mvt,#pragma omp simd,0.83853733
129,mvt,,0.91912333
130,convolution-2d,"#pragma omp target teams distribute parallel for simd num_threads(72) dist_schedule(static, 2) is_device_ptr(A, B)",0.07672166
131,convolution-2d,#pragma omp parallel for num_threads(8),0.07899566
132,convolution-2d,"#pragma omp target teams distribute parallel for simd schedule(static, 4) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B)",0.095809
133,convolution-2d,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(64) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B)",0.110349
134,convolution-2d,#pragma omp parallel for collapse(2) num_threads(8),0.12889733
135,convolution-2d,#pragma omp parallel for simd collapse(2) num_threads(8),0.129936
136,convolution-2d,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(176) dist_schedule(static, 1) is_device_ptr(A, B)",0.13522233
137,convolution-2d,"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2) num_threads(16)",0.15539066
138,convolution-2d,#pragma omp simd,0.25045133
139,convolution-2d,,0.254789
