,Benchmark,Pragma,Time
52,fdtd-apml,#pragma omp parallel for schedule(dynamic) num_threads(16),0.52242366
53,fdtd-apml,#pragma omp parallel for simd schedule(static) num_threads(16),0.53753133
54,fdtd-apml,"#pragma omp target teams distribute is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.314369
55,fdtd-apml,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.723195
56,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.74462933
57,fdtd-apml,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(128) dist_schedule(static, 1) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",1.754103
58,fdtd-apml,#pragma omp simd,8.25513633
59,fdtd-apml,,8.27849466
60,covariance,#pragma omp parallel for schedule(dynamic) num_threads(8),3.33842566
61,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic, 1) dist_schedule(static, 1) thread_limit(128) is_device_ptr(data, symmat, mean)",3.58635
62,covariance,"#pragma omp target teams distribute parallel for num_threads(16) is_device_ptr(data, symmat, mean)",5.14715533
63,covariance,"#pragma omp target teams distribute is_device_ptr(data, symmat, mean)",5.15867366
64,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) is_device_ptr(data, symmat, mean)",5.19686733
65,covariance,#pragma omp parallel for simd num_threads(8),6.085089
66,covariance,#pragma omp parallel for num_threads(8),6.17436933
67,covariance,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(72) dist_schedule(static, 1) thread_limit(256) is_device_ptr(data, symmat, mean)",7.32735233
68,covariance,#pragma omp simd,24.527368
69,covariance,,27.72531066
70,gemm,"#pragma omp target teams distribute thread_limit(128) is_device_ptr(A, B, C)",4.247133
71,gemm,"#pragma omp target teams distribute parallel for schedule(static, 2) num_threads(72) is_device_ptr(A, B, C)",4.30804366
72,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) thread_limit(32) is_device_ptr(A, B, C)",4.36947933
73,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 2) dist_schedule(static, 2) thread_limit(64) is_device_ptr(A, B, C)",5.76534033
74,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) is_device_ptr(A, B, C)",7.65797966
75,gemm,#pragma omp parallel for collapse(2) schedule(dynamic),10.57798133
76,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) thread_limit(256) is_device_ptr(A, B, C)",10.982412
77,gemm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",15.00843433
78,gemm,,35.89116766
79,gemm,#pragma omp simd,44.94491
80,gesummv,"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(64) is_device_ptr(A, B, tmp, x, y)",0.22927266
81,gesummv,"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(A, B, tmp, x, y)",0.23621966
82,gesummv,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, tmp, x, y)",0.238622
83,gesummv,#pragma omp parallel for simd schedule(dynamic) num_threads(176),0.241367
84,gesummv,"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(176)",0.271
85,gesummv,"#pragma omp target teams distribute is_device_ptr(A, B, tmp, x, y)",0.362906
86,gesummv,"#pragma omp target teams distribute parallel for schedule(static, 8) dist_schedule(static, 8) is_device_ptr(A, B, tmp, x, y)",0.38801566
87,gesummv,"#pragma omp target teams distribute parallel for simd schedule(static, 2) num_threads(64) dist_schedule(static, 2) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",0.438957
88,gesummv,,0.63516966
89,gesummv,#pragma omp simd,0.66121133
90,gemver,"#pragma omp parallel for simd schedule(static, 16) num_threads(8)",0.270293
91,gemver,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(72) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.27212233
92,gemver,"#pragma omp target teams distribute parallel for num_threads(176) dist_schedule(static, 1) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.27249766
93,gemver,"#pragma omp target teams distribute parallel for simd num_threads(8) dist_schedule(static, 1) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.27375866
94,gemver,"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(32) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.31214333
95,gemver,"#pragma omp parallel for simd schedule(static, 4) num_threads(8)",0.352355
96,gemver,"#pragma omp target teams distribute parallel for simd schedule(static, 8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.40578933
97,gemver,"#pragma omp target teams distribute parallel for simd schedule(static) num_threads(8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, u1, v1, u2, v2, w, x, y ,z)",0.55168466
98,gemver,#pragma omp simd,1.64835866
99,gemver,,1.80070366
100,syr2k,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 2) num_threads(16) is_device_ptr(A, B, C)",4.86884666
101,syr2k,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(16) is_device_ptr(A, B, C)",4.870065
102,syr2k,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(A, B, C)",5.29014033
103,syr2k,"#pragma omp target teams distribute parallel for schedule(static, 1) num_threads(8) is_device_ptr(A, B, C)",5.29386933
104,syr2k,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static, 8) num_threads(64) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B, C)",8.53634766
105,syr2k,"#pragma omp target teams distribute dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",9.96849933
106,syr2k,"#pragma omp target teams distribute parallel for simd num_threads(8) dist_schedule(static, 16) is_device_ptr(A, B, C)",9.983332
107,syr2k,#pragma omp parallel for collapse(2) schedule(dynamic),15.08548766
108,syr2k,#pragma omp simd,68.33254533
109,syr2k,,87.41138266
110,syrk,"#pragma omp target teams distribute parallel for schedule(static) num_threads(16) is_device_ptr(A, C)",1.88643233
111,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 16) thread_limit(64) is_device_ptr(A, C)",1.99433733
112,syrk,"#pragma omp target teams distribute parallel for thread_limit(256) is_device_ptr(A, C)",2.136489
113,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) num_threads(8) is_device_ptr(A, C)",2.21893133
114,syrk,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) is_device_ptr(A, C)",2.24322766
115,syrk,"#pragma omp target teams distribute parallel for collapse(2) num_threads(32) dist_schedule(static, 1) is_device_ptr(A, C)",2.380198
116,syrk,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(16) thread_limit(256) is_device_ptr(A, C)",4.19233566
117,syrk,#pragma omp parallel for collapse(2) schedule(dynamic),6.98376266
118,syrk,,39.846901
119,syrk,#pragma omp simd,41.507285
120,mvt,"#pragma omp target teams distribute parallel for schedule(static, 8) dist_schedule(static, 8) is_device_ptr(x1, x2, y_1, y_2, A)",0.27586766
121,mvt,"#pragma omp target teams distribute parallel for schedule(dynamic, 4) num_threads(32) dist_schedule(static, 4) thread_limit(32) is_device_ptr(x1, x2, y_1, y_2, A)",0.29033633
122,mvt,"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 1) thread_limit(128) is_device_ptr(x1, x2, y_1, y_2, A)",0.294994
123,mvt,"#pragma omp target teams distribute dist_schedule(static, 8) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.29979933
124,mvt,"#pragma omp target teams distribute parallel for collapse(2) dist_schedule(static, 2) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.30242433
125,mvt,"#pragma omp target teams distribute parallel for collapse(2) num_threads(8) thread_limit(256) is_device_ptr(x1, x2, y_1, y_2, A)",0.34511133
126,mvt,"#pragma omp parallel for collapse(2) schedule(static, 1)",0.34798
127,mvt,,1.180614
128,mvt,#pragma omp simd,1.18109
129,mvt,"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",7.71775866
130,convolution-2d,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(A, B)",0.08960633
131,convolution-2d,"#pragma omp target teams distribute dist_schedule(static, 16) thread_limit(32) is_device_ptr(A, B)",0.09118466
132,convolution-2d,"#pragma omp target teams distribute parallel for collapse(2) num_threads(176) is_device_ptr(A, B)",0.09421433
133,convolution-2d,"#pragma omp target teams distribute parallel for schedule(static, 8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, B)",0.09815766
134,convolution-2d,"#pragma omp target teams distribute parallel for simd collapse(2) num_threads(64) dist_schedule(static, 2) is_device_ptr(A, B)",0.18130633
135,convolution-2d,"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.24031533
136,convolution-2d,,0.46326566
137,convolution-2d,#pragma omp simd,0.46332866
138,convolution-2d,#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(128),1.19842466
139,convolution-2d,#pragma omp parallel for simd collapse(2) schedule(dynamic),1.282096
