,Benchmark,Pragma,Time
66,gemm,"#pragma omp target teams distribute parallel for dist_schedule(static, 16) is_device_ptr(A, B, C)",52.47985866
67,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic) dist_schedule(static, 16) is_device_ptr(A, B, C)",53.028799
68,gemm,"#pragma omp target teams distribute parallel for simd num_threads(176) dist_schedule(static, 16) is_device_ptr(A, B, C)",72.62216466
69,gemm,"#pragma omp target teams distribute dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",104.085041
70,gesummv,#pragma omp parallel for schedule(dynamic) num_threads(72),2.970294
71,gesummv,"#pragma omp parallel for schedule(dynamic, 16) num_threads(16)",3.011911
72,gesummv,#pragma omp parallel for schedule(dynamic) num_threads(16),3.021302
73,gesummv,"#pragma omp parallel for simd schedule(dynamic, 16) num_threads(8)",4.08921233
74,gesummv,"#pragma omp parallel for schedule(dynamic, 2) num_threads(8)",4.18693233
75,gesummv,"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(8)",4.24106066
76,gesummv,#pragma omp simd,30.43283166
77,gesummv,,30.497291
78,gesummv,"#pragma omp target teams distribute is_device_ptr(A, B, tmp, x, y)",34.26186166
79,gemver,#pragma omp parallel for simd schedule(dynamic) num_threads(32),24.850404
80,gemver,"#pragma omp parallel for simd schedule(dynamic, 4) num_threads(16)",35.04761066
81,gemver,"#pragma omp parallel for schedule(dynamic, 16) num_threads(16)",35.08844233
82,gemver,"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(16)",35.31435033
83,gemver,"#pragma omp parallel for schedule(dynamic, 2) num_threads(8)",38.62663066
84,gemver,#pragma omp parallel for schedule(dynamic) num_threads(8),38.672295
85,gemver,"#pragma omp parallel for simd schedule(dynamic, 8) num_threads(8)",38.92800366
86,gemver,#pragma omp simd,170.02433766
87,gemver,,177.515727
88,syr2k,#pragma omp parallel for simd num_threads(16),11.20225933
89,syr2k,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, B, C)",13.843592
90,syr2k,#pragma omp parallel for schedule(dynamic) num_threads(8),19.774054
91,syr2k,"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(8)",19.86275833
92,syr2k,#pragma omp parallel for simd num_threads(8),20.62088866
93,syr2k,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, C)",31.419978
94,syr2k,"#pragma omp target teams distribute is_device_ptr(A, B, C)",65.868112
95,syr2k,,131.52550933
96,syr2k,#pragma omp simd,136.59446066
97,syr2k,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, B, C)",168.28247266
98,syrk,#pragma omp parallel for simd collapse(2) schedule(static) num_threads(16),6.337183
99,syrk,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(A, C)",6.65685066
100,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C)",8.305268
101,syrk,#pragma omp parallel for schedule(dynamic) num_threads(8),10.44225866
102,syrk,"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(8)",10.69839866
103,syrk,#pragma omp parallel for simd collapse(2) schedule(static) num_threads(8),11.18679666
104,syrk,"#pragma omp target teams distribute is_device_ptr(A, C)",29.920318
105,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) is_device_ptr(A, C)",50.97947266
106,syrk,#pragma omp simd,66.42768533
107,syrk,,68.419072
108,mvt,"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(8)",35.051965
109,mvt,#pragma omp parallel for simd collapse(2) num_threads(64),35.44407566
110,mvt,"#pragma omp parallel for collapse(2) schedule(dynamic, 2)",36.01570933
111,mvt,"#pragma omp parallel for simd collapse(2) schedule(dynamic, 2)",37.219841
112,mvt,"#pragma omp parallel for collapse(2) schedule(dynamic, 1)",60.00859133
113,mvt,#pragma omp parallel for collapse(2) schedule(dynamic),60.10161
114,mvt,#pragma omp parallel for simd collapse(2) num_threads(8),117.28820766
115,mvt,,156.59498266
116,mvt,#pragma omp simd,156.596755
117,convolution-2d,"#pragma omp parallel for simd collapse(2) schedule(static, 8) num_threads(128)",0.261673
118,convolution-2d,"#pragma omp parallel for collapse(2) schedule(static, 4)",0.278328
119,convolution-2d,"#pragma omp parallel for collapse(2) schedule(dynamic, 2) num_threads(8)",0.29586633
120,convolution-2d,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 1) num_threads(16) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, B)",0.32094833
121,convolution-2d,"#pragma omp target teams distribute parallel for schedule(static) num_threads(72) dist_schedule(static, 1) thread_limit(256) is_device_ptr(A, B)",0.33068466
122,convolution-2d,,0.37549866
123,convolution-2d,#pragma omp simd,0.37698066
124,convolution-2d,"#pragma omp target teams distribute parallel for simd schedule(dynamic) num_threads(32) is_device_ptr(A, B)",0.485246
125,convolution-2d,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 4) num_threads(72) thread_limit(128) is_device_ptr(A, B)",0.807087
126,convolution-2d,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 2) num_threads(128) thread_limit(128) is_device_ptr(A, B)",0.97443433
