,Benchmark,Pragma,Time
49,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(dynamic) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",34.70419066
50,fdtd-apml,"#pragma omp target teams distribute parallel for schedule(dynamic) thread_limit(64) is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",39.83731766
51,fdtd-apml,"#pragma omp target teams distribute is_device_ptr(Ax, Ry, clf, tmp, Bza, Ex, Ey, Hz, czm, czp, cxmh, cxph, cymh, cyph)",45.30240333
52,fdtd-apml,#pragma omp simd,56.437153
53,fdtd-apml,,60.50325466
54,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(16) is_device_ptr(data, symmat, mean)",38.830625
55,covariance,"#pragma omp target teams distribute is_device_ptr(data, symmat, mean)",38.88454433
56,covariance,"#pragma omp target teams distribute thread_limit(128) is_device_ptr(data, symmat, mean)",38.901985
57,covariance,"#pragma omp target teams distribute parallel for schedule(static) num_threads(8) thread_limit(128) is_device_ptr(data, symmat, mean)",40.24924766
58,covariance,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 8) dist_schedule(static, 8) is_device_ptr(data, symmat, mean)",43.731785
59,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(72) dist_schedule(static, 1) thread_limit(256) is_device_ptr(data, symmat, mean)",60.22223
60,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(16) thread_limit(256) is_device_ptr(data, symmat, mean)",67.66667
61,covariance,"#pragma omp target teams distribute parallel for schedule(dynamic) num_threads(8) thread_limit(256) is_device_ptr(data, symmat, mean)",67.67224066
62,covariance,"#pragma omp target teams distribute thread_limit(256) is_device_ptr(data, symmat, mean)",67.88441766
63,gemm,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic) num_threads(8) thread_limit(64) is_device_ptr(A, B, C)",31.428307
64,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 2) dist_schedule(static, 2) thread_limit(64) is_device_ptr(A, B, C)",32.704308
65,gemm,"#pragma omp target teams distribute is_device_ptr(A, B, C)",32.882923
66,gemm,#pragma omp parallel for simd num_threads(16),33.674616
67,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(8) thread_limit(32) is_device_ptr(A, B, C)",33.78992866
68,gemm,"#pragma omp target teams distribute parallel for collapse(2) schedule(static, 8) dist_schedule(static, 8) is_device_ptr(A, B, C)",62.67210766
69,gemm,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 8) dist_schedule(static, 8) thread_limit(128) is_device_ptr(A, B, C)",64.17913066
70,gemm,#pragma omp parallel for collapse(2) schedule(dynamic),89.37249133
71,gemm,#pragma omp parallel for simd collapse(2) schedule(dynamic),90.96494766
72,gesummv,#pragma omp parallel for schedule(static) num_threads(16),17.433051
73,gesummv,#pragma omp parallel for simd num_threads(16),23.23886466
74,gesummv,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, B, tmp, x, y)",29.08346933
75,gesummv,#pragma omp parallel for simd num_threads(8),34.816364
76,gesummv,"#pragma omp parallel for schedule(dynamic, 4) num_threads(176)",38.111411
77,gesummv,#pragma omp parallel for simd schedule(static) num_threads(8),46.411466
78,gesummv,#pragma omp parallel for schedule(static) num_threads(8),46.715583
79,gesummv,#pragma omp parallel for simd schedule(dynamic),173.32877966
80,gesummv,#pragma omp parallel for schedule(dynamic),173.50844933
81,gemver,"#pragma omp parallel for simd schedule(static, 8) num_threads(32)",42.65572266
82,gemver,"#pragma omp parallel for schedule(dynamic, 16) num_threads(32)",43.638571
83,gemver,#pragma omp parallel for simd schedule(static) num_threads(16),78.814428
84,gemver,"#pragma omp parallel for schedule(static, 4) num_threads(16)",81.859397
85,gemver,#pragma omp parallel for simd num_threads(16),86.08217966
86,gemver,"#pragma omp parallel for simd schedule(static, 1) num_threads(8)",133.54770833
87,gemver,"#pragma omp parallel for schedule(static, 2) num_threads(8)",138.361478
88,gemver,"#pragma omp parallel for simd schedule(static, 1) num_threads(8)",138.963366
89,syr2k,#pragma omp parallel for simd collapse(2) schedule(dynamic) num_threads(72),45.83034566
90,syr2k,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) num_threads(32) thread_limit(32) is_device_ptr(A, B, C)",47.04570633
91,syr2k,"#pragma omp target teams distribute dist_schedule(static, 16) is_device_ptr(A, B, C)",47.42145233
92,syr2k,"#pragma omp target teams distribute parallel for simd num_threads(64) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, B, C)",54.49148033
93,syr2k,"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(128) is_device_ptr(A, B, C)",54.826189
94,syr2k,"#pragma omp target teams distribute parallel for schedule(static, 1) num_threads(16) thread_limit(256) is_device_ptr(A, B, C)",126.417838
95,syr2k,#pragma omp parallel for collapse(2) schedule(dynamic),132.22163966
96,syr2k,#pragma omp parallel for collapse(2) num_threads(8),167.692569
97,syr2k,"#pragma omp parallel for simd schedule(dynamic, 1) num_threads(8)",233.882583
98,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 1) thread_limit(128) is_device_ptr(A, C)",14.65094266
99,syrk,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(dynamic, 8) is_device_ptr(A, C)",16.19193833
100,syrk,"#pragma omp target teams distribute parallel for collapse(2) schedule(dynamic, 16) dist_schedule(static, 16) thread_limit(128) is_device_ptr(A, C)",19.09180033
101,syrk,"#pragma omp target teams distribute parallel for simd num_threads(8) thread_limit(128) is_device_ptr(A, C)",19.90924166
102,syrk,#pragma omp parallel for simd collapse(2) num_threads(16),30.04240033
103,syrk,#pragma omp parallel for schedule(static) num_threads(16),30.73552633
104,syrk,"#pragma omp target teams distribute parallel for simd schedule(dynamic, 8) dist_schedule(static, 8) thread_limit(256) is_device_ptr(A, C)",30.87137833
105,syrk,#pragma omp parallel for collapse(2) schedule(dynamic),62.97056266
106,syrk,#pragma omp parallel for simd collapse(2) schedule(dynamic),65.49699733
107,mvt,#pragma omp parallel for collapse(2) num_threads(8),21.83512533
108,mvt,#pragma omp parallel for simd num_threads(64),22.87991633
109,mvt,#pragma omp parallel for collapse(2) schedule(static) num_threads(8),24.05037733
110,mvt,"#pragma omp parallel for collapse(2) schedule(static, 8) num_threads(8)",25.156174
111,mvt,"#pragma omp parallel for simd collapse(2) schedule(static, 1) num_threads(32)",26.53647466
112,mvt,#pragma omp parallel for simd schedule(dynamic),26.66836166
113,mvt,"#pragma omp parallel for simd collapse(2) schedule(static, 4) num_threads(8)",29.19364666
114,mvt,"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",175.119055
115,mvt,"#pragma omp target teams distribute parallel for simd num_threads(72) is_device_ptr(x1, x2, y_1, y_2, A)",176.81465266
116,convolution-2d,"#pragma omp target teams distribute parallel for schedule(static) dist_schedule(static, 1) thread_limit(256) is_device_ptr(A, B)",0.20221233
117,convolution-2d,"#pragma omp target teams distribute parallel for collapse(2) schedule(static) dist_schedule(static, 1) thread_limit(64) is_device_ptr(A, B)",0.22511
118,convolution-2d,#pragma omp parallel for simd collapse(2) num_threads(8),0.235269
119,convolution-2d,#pragma omp parallel for collapse(2) num_threads(8),0.24002533
120,convolution-2d,#pragma omp parallel for simd num_threads(8),0.25468333
121,convolution-2d,"#pragma omp target teams distribute parallel for simd collapse(2) schedule(static) num_threads(64) dist_schedule(static, 4) thread_limit(64) is_device_ptr(A, B)",0.34147133
122,convolution-2d,"#pragma omp parallel for collapse(2) schedule(dynamic, 8) num_threads(72)",0.96759866
123,convolution-2d,,1.85367633
124,convolution-2d,#pragma omp simd,1.855086
125,convolution-2d,#pragma omp parallel for collapse(2) schedule(dynamic) num_threads(64),4.36614333
