p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,16,72,2.809999,5612.598477125168
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10),num_threads(#P12),collapse(2),static,8,72,1.67072033,5808.436108589172
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128, ,"schedule(#P10, #P11)",num_threads(#P12),collapse(2),static,8,8,3.94402566,5898.42051243782
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,"schedule(#P10, #P11)",num_threads(#P12), ,static,16,72,26.001787,6209.182608127594
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,schedule(#P10), ,collapse(2),static,1,NA,6.32866366,6317.182470798492
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , ,num_threads(#P12),collapse(2),NA,8,16,1.55461333,6381.182213544846
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,8,16,1.55602733,6441.181951522827
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,8,8,1.57479333,6501.1824333667755
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,4,8,1.71728966,6563.183477401733
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , ,num_threads(#P12),collapse(2),NA,8,8,1.568933,6627.182246685028
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,4,64,1.881849,6693.182643651962
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, , ,num_threads(#P12),collapse(2),NA,8,176,1.67753933,6755.18276309967
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , ,num_threads(#P12),collapse(2),NA,16,64,1.92879733,6821.182537317276
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32, , , ,collapse(2),NA,2,NA,2.37267633,6955.181711435318
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , ,collapse(2),NA,4,NA,2.16453333,7077.3093638420105
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, , , ,collapse(2),NA,8,NA,1.682736,7255.35321187973
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , ,collapse(2),NA,8,NA,1.67097666,7381.18273973465
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, , ,num_threads(#P12),collapse(2),NA,NA,176,11.72380233,7629.183818817139
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , ,num_threads(#P12),collapse(2),NA,8,72,1.657941,7791.182106256485
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32, , ,num_threads(#P12),collapse(2),NA,16,8,1.568677,7945.183305025101
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, , ,num_threads(#P12),collapse(2),NA,16,72,1.52767333,8067.183802366257
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,8,32,1.53441166,8191.353018760681
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,16,16,1.94750833,8315.183062791824
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,8,176,2.04707033,8509.692255020142
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , , ,collapse(2),NA,16,NA,1.66232766,8639.181646108627
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , ,num_threads(#P12),collapse(2),NA,16,64,1.92702166,8749.182612657547
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,8,176,1.54111433,8879.183291196823
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256, , ,num_threads(#P12),collapse(2),NA,8,176,2.04493166,9009.184948921204
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,8,16,1.55265133,9155.182771205902
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256,simd, , ,collapse(2),NA,8,NA,2.06544033,9385.39610695839
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd, , ,collapse(2),NA,8,NA,1.53686766,9507.181456804276
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256,simd, ,num_threads(#P12),collapse(2),NA,8,8,1.5716,9573.18170428276
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,8,32,1.53024633,9639.183240890503
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, ,num_threads(#P12),collapse(2),NA,16,128,1.52613833,9705.269716739655
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, ,num_threads(#P12),collapse(2),NA,8,8,1.56827333,9823.182522773743
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,8,64,1.53967833,9891.566739797592
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.755151,10009.180791854858
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,8,176,1.53588933,10075.182496786118
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,4,176,1.882806,10163.183363199234
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd, , ,collapse(2),NA,16,NA,1.91650033,10259.181419610977
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.76062266,10383.182084560394
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,16,32,1.91860533,10509.649945735931
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,16,16,1.946855,10631.182294130325
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64,simd,schedule(#P10), ,collapse(2),dynamic,16,NA,1.56282466,10755.18265080452
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),dynamic,16,NA,1.81709933,10927.183449268341
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),64, ,"schedule(#P10, #P11)", ,collapse(2),dynamic,16,NA,7.77590366,11109.18369102478
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),static,16,NA,1.657851,11219.181471824646
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, ,num_threads(#P12),collapse(2),NA,8,32,1.53501066,11315.181121587753
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,schedule(#P10), ,collapse(2),static,4,NA,3.255728,11443.182291269302
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , ,collapse(2),NA,8,NA,1.67427533,11555.182077169418
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , ,collapse(2),NA,16,NA,1.53506966,11637.438877820969
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,8,1.76696466,11707.183230876923
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd,schedule(#P10), ,collapse(2),static,4,NA,1.81248366,11783.182250022888
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,"schedule(#P10, #P11)", ,collapse(2),dynamic,16,NA,2.98506333,11863.609015464783
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, , ,num_threads(#P12),collapse(2),NA,NA,8,1.57585766,11965.182479858398
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , ,collapse(2),NA,16,NA,1.53267033,12045.438073396683
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , ,collapse(2),NA,4,NA,2.16652466,12113.694671869278
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd, , ,collapse(2),NA,2,NA,3.58761266,12193.18156838417
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd, ,num_threads(#P12),collapse(2),NA,NA,8,1.577081,12255.183202505112
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,NA,8,1.56964,12315.182973861694
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64,simd, ,num_threads(#P12),collapse(2),NA,NA,8,1.571135,12377.523382425308
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,NA,8,1.57590833,12437.182589769363
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),128,simd, , ,collapse(2),NA,NA,NA,11.87121866,12609.181884765625
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , ,collapse(2),NA,1,NA,6.422187,12723.608877420425
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, , , ,collapse(2),NA,2,NA,3.595589,12807.18227982521
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, , ,NA, , ,num_threads(#P12),collapse(2),NA,NA,8,1.572977,12985.182990312576
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,8,32,1.53382633,13069.181247234344
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,"schedule(#P10, #P11)", ,collapse(2),static,8,NA,6.25873066,13177.183091640472
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32,simd, ,num_threads(#P12),collapse(2),NA,NA,8,1.57566633,13245.182406663895
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10), ,collapse(2),static,8,NA,2.052219,13309.181045293808
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd, ,num_threads(#P12),collapse(2),NA,4,8,1.72130166,13381.182307720184
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd,schedule(#P10), ,collapse(2),dynamic,16,NA,1.821486,13445.182612895966
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),256,simd,schedule(#P10), ,collapse(2),static,8,NA,2.077296,13511.18250155449
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128,simd, , ,collapse(2),NA,16,NA,1.53370133,13577.182449817657
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA, ,schedule(#P10), ,collapse(2),dynamic,16,NA,1.82337733,13641.18195438385
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)", ,NA,simd,"schedule(#P10, #P11)", ,collapse(2),static,16,NA,6.243661,13749.181099414825
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, C)",parallel for #P4 #P8 #P6 #P7,"dist_schedule(static, #P11)",thread_limit(#P14),128, , ,num_threads(#P12),collapse(2),NA,8,32,1.53901233,13809.182630777359
