p1,p3,p5,p9,p14,p4,p6,p7,p8,p10,p11,p12,objective,elapsed_sec
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,72,2.38452,39289.727615356445
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,176,1.98710333,39387.73009777069
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, , ,NA,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,1.035734,39469.72628855705
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,176,2.07279233,39588.24067211151
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,1.33491333,39713.72601866722
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),static,NA,32,8.31686833,39907.727040052414
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),32, , ,num_threads(#P12),collapse(2),NA,NA,64,2.07103233,40023.72602391243
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),64, , ,num_threads(#P12),collapse(2),NA,NA,32,2.506517,40125.726905584335
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256, ,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,176,1.137896,40351.727635622025
"#pragma omp target teams distribute #P3 #P5 #P9 is_device_ptr(A, B, C, D, tmp)",parallel for #P4 #P8 #P6 #P7, ,thread_limit(#P14),256,simd,schedule(#P10),num_threads(#P12),collapse(2),dynamic,NA,128,1.33666533,40436.23782539368
